Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=VCC Pin=U4-1
Removed Pin From Net: NetName=GND Pin=U4-2
Removed Member From Class: ClassName=Schematic Member=C3
Removed Member From Class: ClassName=Schematic Member=U4
Change Component Comment : Designator=J6 Old Comment=J-4 New Comment=Neopixel
Change Component Comment : Designator=U3 Old Comment=R-78E5.0-0.5 New Comment=R-78E5.0-1.0
Change Component Description : Designator=U3 Old Description=DC/DC-Converter, 5 V Single Output, 500 mA, -40 to 85 degC, 3-Pin THD, RoHS, Tube New Description=DC/DC-Converter, 5 V Single Output, 1000 mA, -40 to 85 degC, 3-Pin THD, RoHS, Tube
Change component parameters: Designator = "U3" ("U3"); Footprint = "REPO-R-78E-0.5-3_V"; UniqueID = "\CBRVLDMG" ("\CBRVLDMG")
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "11.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Recom Power"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "R-78E5.0-1.0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.recom-power.com/us/americas/home.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Voltage"; Value = "28V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "5W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Input Voltage"; Value = "8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C~85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Power"; Value = "5W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "3-Pin Through Hole Device, Body 11.6 x 8.5 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "42"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "SIP Module"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Version"; Value = "Rev. 0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=4.42170, 10=4.29410, 25=4.09170, 50=3.92490, 100=3.63520, 500=3.61680 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "116"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VIN Max"; Value = "28V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VIN Min"; Value = "7V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output 1"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VOUT"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "2g"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "8.5mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC2_1 Pin=J6-3
Added Pin To Net: NetName=D9 Pin=J6-2
Added Pin To Net: NetName=D9 Pin=U1-12
Added Net: Name=D9
